story_id,acceptance_criterion,test_file,test_name
B1,"The submitting organiser is recorded as the owner of the event",services/event/tests/api/submission.test.ts,"records the submitting organiser as the owner of the event"
B1,"The submitted request appears in the Event Coordinator review queue",services/event/tests/api/review.test.ts,"shows a submitted request with the details a coordinator triages on"
B1,"On submission the assigned coordinator (E1) is notified that a new event request is awaiting review",services/event/tests/api/submission.test.ts,"raises the notification that a new request awaits review, in the same transaction"
B1,"If submission fails validation, no event record is created and no submission timestamp is recorded",services/event/tests/api/submission.test.ts,"creates no event record at all when validation fails (B1, B2)"
B2,"Submission is blocked unless every mandatory field is populated",services/event/tests/domain/validation.test.ts,"names every missing mandatory field, not only the first"
B2,"When submission is blocked, the message names every field that caused the rejection, not just the first one",services/event/tests/api/submission.test.ts,"names every field that caused the rejection, not just the first (B2)"
B2,"The end date/time must be later than the start date/time; an equal or earlier end time is rejected and the message identifies this as the reason",services/event/tests/domain/validation.test.ts,"rejects an end time equal to the start time, saying why"
B2,"The proposed start date/time must not be in the past at the moment of submission",services/event/tests/domain/validation.test.ts,"rejects a start date and time in the past"
B2,"Expected attendance must be a whole number greater than zero",services/event/tests/domain/validation.test.ts,"rejects an expected attendance of zero"
B2,"When registration is required, the opening and closing date/times are mandatory and the closing must be later than the opening",services/event/tests/domain/validation.test.ts,"requires the closing to be later than the opening"
B2,"The registration closing must be no later than the event start",services/event/tests/domain/validation.test.ts,"requires the closing to be no later than the event start"
B2,"An equipment-required flag is mandatory, and none-required counts as a complete equipment arrangement",services/event/tests/domain/validation.test.ts,"accepts 'no equipment required' as a stated equipment flag"
B2,"A blocked submission creates no submission record and changes no other stored value",services/event/tests/api/submission.test.ts,"creates no event record at all when validation fails (B1, B2)"
C1,"A request can be saved once the event name is present; every other field may be empty",services/event/tests/repo/drafts.test.ts,"saves a draft with only a name, every other field empty"
C1,"The saved record has status Draft and stores the owning organiser and a last-saved timestamp",services/event/tests/repo/drafts.test.ts,"records the owning organiser and a last-saved timestamp"
C1,"The submission validation rules in B2 are not applied on save",services/event/tests/api/drafts.test.ts,"does not apply the submission rules on save"
C1,"Any date or time that is entered must be a valid date or time",services/event/tests/api/drafts.test.ts,"refuses a date that is not a valid date, even on save"
C1,"A draft does not appear in the Event Coordinator review queue",services/event/tests/api/review.test.ts,"never shows a draft in the queue"
C1,"A draft is not visible to any user other than its owner",services/event/tests/api/drafts.test.ts,"gives an organiser who does not own the draft no draft content"
C2,"Opening one of my own drafts restores every previously saved field with the exact value that was saved",services/event/tests/repo/drafts.test.ts,"restores every saved field with the exact value that was saved"
C2,"Saving an edited draft updates the last-saved timestamp and retains status Draft",services/event/tests/api/drafts.test.ts,"keeps the draft a draft when it is edited and saved"
C2,"Submitting from a draft applies the full validation in B2",services/event/tests/api/submission.test.ts,"applies the full B2 validation when submitting from a draft"
C2,"On success the status changes Draft to Submitted and the submission timestamp is recorded",services/event/tests/api/submission.test.ts,"moves the draft to Submitted and records the submission time"
C2,"After submission the request is no longer editable through the draft screen",services/event/tests/api/submission.test.ts,"stops the request being edited through the draft screen once submitted"
C2,"A user who is not the owning organiser cannot open, edit, or submit the draft",services/event/tests/api/drafts.test.ts,"refuses an edit by an organiser who does not own the draft"
C3,"The organiser's event list shows the status of every request, with Draft visually distinct from Submitted and later statuses",services/event/tests/api/drafts.test.ts,"shows the status of every request, with drafts distinct from submitted ones"
C3,"The list can be filtered to show only drafts or only submitted-and-later requests",services/event/tests/api/drafts.test.ts,"can be filtered to drafts only"
C3,"A draft row shows its last-saved date/time and displays no assigned coordinator, no review outcome, and no event reference number",services/event/tests/api/drafts.test.ts,"shows a draft row with its last-saved time, no reference and no coordinator"
C3,"The list contains only the signed-in organiser's own requests",services/event/tests/api/drafts.test.ts,"lists no other organiser's requests (A3)"
D1,"The queue lists every event with status Submitted, Under Review, or Awaiting Clarification that has no recorded decision",services/event/tests/repo/events.test.ts,"drops an event from the queue once it carries a decision"
D1,"Each row shows event reference, name, proposed date and time, expected attendance, submitting organiser, submission timestamp, and current status",services/event/tests/api/review.test.ts,"shows a submitted request with the details a coordinator triages on"
D1,"The queue is ordered by submission timestamp, oldest first, by default",services/event/tests/api/review.test.ts,"orders the queue oldest submission first"
D1,"Opening a request shows the full submitted content, including accessibility, venue, and equipment requirements",services/event/tests/api/review.test.ts,"shows the full submitted content, including requirements"
D1,"Opening a request with status Submitted changes it to Under Review and records the reviewing coordinator and the timestamp",services/event/tests/api/review.test.ts,"moves a Submitted request to Under Review, recording the reviewer and time"
D1,"If the request is already Under Review by another coordinator, the reviewer on the record is not overwritten",services/event/tests/api/review.test.ts,"does not overwrite the reviewer when a second coordinator opens it"
D1,"Requests with status Draft never appear in the queue",services/event/tests/api/review.test.ts,"never shows a draft in the queue"
E1,"Assignment happens automatically as part of the submission of an event request (B1)",services/event/tests/api/submission.test.ts,"assigns a coordinator as part of the submission"
E1,"Exactly one coordinator is assigned per event",services/event/tests/api/submission.test.ts,"gives each event exactly one active assignment"
E1,"On assignment the assigned coordinator, the allocation rule applied, and the assignment timestamp are recorded",services/event/tests/api/submission.test.ts,"records the allocation rule that was applied, so the outcome can be explained"
E1,"The allocation rule is applied consistently to every event",services/event/tests/domain/assignment.test.ts,"assigns each coordinator in turn as the cursor advances"
E1,"The newly assigned coordinator receives a notification identifying the event",services/event/tests/api/submission.test.ts,"notifies the newly assigned coordinator"
E1,"If no eligible coordinator exists, the event is still submitted and recorded as awaiting assignment",services/event/tests/domain/assignment.test.ts,"returns nothing when no eligible coordinator exists, so the event can still be submitted"
F1,"Every status change writes a history entry containing previous status, new status, the acting user, their role, the timestamp, and the triggering action",services/event/tests/api/submission.test.ts,"writes the first status history entry for the submission (F1)"
F1,"An attempted transition that is not permitted from the current status is refused, and the message names the current status and the attempted target",services/event/tests/domain/statusMachine.test.ts,"names the current status and the attempted target when it refuses"
A3,"An Event Coordinator's list contains all events in the system, with the events assigned to them distinguishable from the rest",apps/web/tests/assigned.test.tsx,"lists every event whoever it is assigned to, marking the coordinator's own"
A3,"Events assigned to the coordinator are distinguishable in the review queue",apps/web/tests/assigned.test.tsx,"marks the events assigned to the signed-in coordinator"
B1,"The request captures venue requirements and equipment requirements",services/event/tests/api/submission.test.ts,"stores the venue and equipment requirements it captures (B1)"
B1,"The request form captures venue requirements and equipment requirements",apps/web/tests/requestBody.test.ts,"sends venue requirements as a layout, a list of facilities and notes"
B1,"The submitting organiser is shown to the organiser",apps/web/tests/names.test.tsx,"shows the submitting organiser on the organiser's own request page"
B2,"A blocked submission leaves the request at status Draft and changes no other stored value",services/event/tests/api/submission.test.ts,"stores none of the sent values when the submission is blocked (B2)"
C1,"A request can be saved once the event name is present; a name of spaces is not a name",services/event/tests/api/drafts.test.ts,"refuses a draft whose name is only spaces, since that is no name at all"
C2,"Submitting from a draft applies the full validation in B2 to the values being submitted",services/event/tests/api/submission.test.ts,"validates the sent values rather than the stored ones, naming an emptied name"
D1,"Each row shows the submitting organiser",apps/web/tests/names.test.tsx,"names the submitting organiser in the review queue"
D1,"If the request is already Under Review by another coordinator, the name of that coordinator is displayed",apps/web/tests/names.test.tsx,"names the coordinator who opened the request first"
D1,"Opening a request shows the full submitted content, including venue and equipment requirements",apps/web/tests/requestBody.test.ts,"restores saved requirements into the form"
