story_id,acceptance_criterion,test_file,test_name
C2,"After submission the request is no longer editable through the draft screen",backend/services/event/tests/api/submission.test.ts,"stops the request being edited through the draft screen once submitted"
C2,"A user who is not the owning organiser cannot open, edit, or submit the draft",backend/services/event/tests/api/drafts.test.ts,"refuses an edit by an organiser who does not own the draft"
C3,"The organiser's event list shows the status of every request, with Draft visually distinct from Submitted and later statuses",backend/services/event/tests/api/drafts.test.ts,"shows the status of every request, with drafts distinct from submitted ones"
C3,"The list can be filtered to show only drafts or only submitted-and-later requests",backend/services/event/tests/api/drafts.test.ts,"can be filtered to drafts only"
C3,"A draft row shows its last-saved date/time and displays no assigned coordinator, no review outcome, and no event reference number",backend/services/event/tests/api/drafts.test.ts,"shows a draft row with its last-saved time, no reference and no coordinator"
C3,"The list contains only the signed-in organiser's own requests",backend/services/event/tests/api/drafts.test.ts,"lists no other organiser's requests (A3)"
D1,"The queue lists every event with status Submitted, Under Review, or Awaiting Clarification that has no recorded decision",backend/services/event/tests/repo/events.test.ts,"drops an event from the queue once it carries a decision"
D1,"Each row shows event reference, name, proposed date and time, expected attendance, submitting organiser, submission timestamp, and current status",backend/services/event/tests/api/review.test.ts,"shows a submitted request with the details a coordinator triages on"
D1,"The queue is ordered by submission timestamp, oldest first, by default",backend/services/event/tests/api/review.test.ts,"orders the queue oldest submission first"
D1,"Opening a request shows the full submitted content, including accessibility, venue, and equipment requirements",backend/services/event/tests/api/review.test.ts,"shows the full submitted content, including requirements"
D1,"Opening a request with status Submitted changes it to Under Review and records the reviewing coordinator and the timestamp",backend/services/event/tests/api/review.test.ts,"moves a Submitted request to Under Review, recording the reviewer and time"
D1,"If the request is already Under Review by another coordinator, the reviewer on the record is not overwritten",backend/services/event/tests/api/review.test.ts,"does not overwrite the reviewer when a second coordinator opens it"
D1,"Requests with status Draft never appear in the queue",backend/services/event/tests/api/review.test.ts,"never shows a draft in the queue"
E1,"Assignment happens automatically as part of the submission of an event request (B1)",backend/services/event/tests/api/submission.test.ts,"assigns a coordinator as part of the submission"
E1,"Exactly one coordinator is assigned per event",backend/services/event/tests/api/submission.test.ts,"gives each event exactly one active assignment"
E1,"On assignment the assigned coordinator, the allocation rule applied, and the assignment timestamp are recorded",backend/services/event/tests/api/submission.test.ts,"records the allocation rule that was applied, so the outcome can be explained"
E1,"The allocation rule is applied consistently to every event",backend/services/event/tests/domain/assignment.test.ts,"assigns each coordinator in turn as the cursor advances"
E1,"The newly assigned coordinator receives a notification identifying the event",backend/services/event/tests/api/submission.test.ts,"notifies the newly assigned coordinator"
E1,"If no eligible coordinator exists, the event is still submitted and recorded as awaiting assignment",backend/services/event/tests/domain/assignment.test.ts,"returns nothing when no eligible coordinator exists, so the event can still be submitted"
A3,"An Event Coordinator's list contains all events in the system, with the events assigned to them distinguishable from the rest",frontend/tests/assigned.test.tsx,"lists every event whoever it is assigned to, marking the coordinator's own"
A3,"Events assigned to the coordinator are distinguishable in the review queue",frontend/tests/assigned.test.tsx,"marks the events assigned to the signed-in coordinator"
B1,"The request captures venue requirements and equipment requirements",backend/services/event/tests/api/submission.test.ts,"stores the venue and equipment requirements it captures (B1)"
B1,"The request form captures venue requirements and equipment requirements",frontend/tests/requestBody.test.ts,"sends venue requirements as a layout, a list of facilities and notes"
B1,"The submitting organiser is shown to the organiser",frontend/tests/names.test.tsx,"shows the submitting organiser on the organiser's own request page"
B2,"A blocked submission leaves the request at status Draft and changes no other stored value",backend/services/event/tests/api/submission.test.ts,"stores none of the sent values when the submission is blocked (B2)"
C1,"A request can be saved once the event name is present; a name of spaces is not a name",backend/services/event/tests/api/drafts.test.ts,"refuses a draft whose name is only spaces, since that is no name at all"
C2,"Submitting from a draft applies the full validation in B2 to the values being submitted",backend/services/event/tests/api/submission.test.ts,"validates the sent values rather than the stored ones, naming an emptied name"
D1,"Each row shows the submitting organiser",frontend/tests/names.test.tsx,"names the submitting organiser in the review queue"
D1,"If the request is already Under Review by another coordinator, the name of that coordinator is displayed",frontend/tests/names.test.tsx,"names the coordinator who opened the request first"
D1,"Opening a request shows the full submitted content, including venue and equipment requirements",frontend/tests/requestBody.test.ts,"restores saved requirements into the form"
D2,"A clarification message is mandatory and must contain at least one non-whitespace character; an empty message is refused, no message is stored, and the event status is unchanged",backend/services/event/tests/api/clarifications.test.ts,"refuses an empty message, storing nothing and leaving the status unchanged"
D2,"On sending, the event status changes to Awaiting Clarification and the requesting coordinator and timestamp are recorded",backend/services/event/tests/api/clarifications.test.ts,"moves the event to Awaiting Clarification, recording who asked and when"
D2,"The message is stored against the event and is visible to the owning organiser and to Event Coordinators",backend/services/event/tests/api/clarifications.test.ts,"lets the owning organiser see the outstanding clarification"
D2,"The message is not visible to users with no relationship to the event",backend/services/event/tests/api/clarifications.test.ts,"gives an organiser who does not own the event no clarification content"
D2,"The organiser receives a notification identifying the event and the fact that clarification is required",backend/services/event/tests/api/clarifications.test.ts,"notifies the organiser that clarification is required"
D2,"Multiple clarification messages on the same event are retained in order rather than overwriting each other",backend/services/event/tests/api/clarifications.test.ts,"retains multiple clarifications in order rather than overwriting"
D2,"Only an Event Coordinator may request clarification (A2)",backend/services/event/tests/api/clarifications.test.ts,"refuses a role that is not an Event Coordinator (A2)"
D2,"Status may only change through a permitted transition (F1)",backend/services/event/tests/api/clarifications.test.ts,"refuses a clarification on an event that is not under review (F1)"
D3,"The organiser can see any outstanding clarification message on their own event",backend/services/event/tests/api/clarifications.test.ts,"lets the owning organiser see the outstanding clarification"
D3,"The organiser can reply with a message, amend the request fields, or both",backend/services/event/tests/api/clarifications.test.ts,"accepts an amendment with no message"
D3,"A response with neither a message nor an amendment is refused and no timestamp is recorded",backend/services/event/tests/api/clarifications.test.ts,"refuses a response with neither a message nor an amendment, recording no timestamp"
D3,"On response the event status returns to Under Review and the response timestamp is recorded",backend/services/event/tests/api/clarifications.test.ts,"returns the event to Under Review and records the response time"
D3,"The values as originally submitted are retained in the event history alongside the amended values",backend/services/event/tests/api/clarifications.test.ts,"retains the value as originally submitted alongside the amended value"
D3,"The coordinator who requested the clarification is notified that the organiser has responded",backend/services/event/tests/api/clarifications.test.ts,"notifies the coordinator who asked for the clarification"
D3,"An organiser who does not own the event cannot view or answer the clarification",backend/services/event/tests/api/clarifications.test.ts,"gives an organiser who does not own the event no clarification content"
D4,"Approve is available only when the event status is Under Review or Awaiting Clarification",backend/services/event/tests/api/decisions.test.ts,"refuses to approve an event that has not been opened for review"
D4,"Approve is available when the event status is Under Review",backend/services/event/tests/api/decisions.test.ts,"approves an event that is Under Review, recording the coordinator and the time"
D4,"Approve is available when the event status is Awaiting Clarification",backend/services/event/tests/api/decisions.test.ts,"approves an event that is Awaiting Clarification"
D4,"On approval the status changes to Approved and the approving coordinator and approval timestamp are recorded",backend/services/event/tests/api/decisions.test.ts,"approves an event that is Under Review, recording the coordinator and the time"
D4,"The approval outcome and its date are visible to the owning organiser",backend/services/event/tests/api/decisions.test.ts,"shows the approval outcome and its date to the owning organiser"
D4,"The organiser receives a notification of the approval",backend/services/event/tests/api/decisions.test.ts,"notifies the organiser of the approval"
D4,"Approval alone creates no venue booking and no equipment reservation",backend/services/event/tests/api/decisions.test.ts,"creates no venue booking and no equipment reservation"
D4,"An event that already carries a recorded decision cannot be approved again and no second approval timestamp is written",backend/services/event/tests/api/decisions.test.ts,"cannot approve an event that already carries a decision, writing no second timestamp"
D4,"A rejected event cannot subsequently be approved",backend/services/event/tests/api/decisions.test.ts,"cannot approve an event that was already rejected"
D4,"The approval writes a status history entry like any other transition (F1)",backend/services/event/tests/api/decisions.test.ts,"writes a history entry for the approval (F1)"
D4,"Only an Event Coordinator may approve (A2)",backend/services/event/tests/api/decisions.test.ts,"refuses a role that is not an Event Coordinator (A2)"
D4,"A double decision is refused at the repository level, writing no second decision timestamp",backend/services/event/tests/repo/events.test.ts,"writes no second decision timestamp for an event already decided"
D5,"Rejection requires a reason of at least one non-whitespace character; without it the rejection is not performed, the status is unchanged, and no rejection timestamp is recorded",backend/services/event/tests/api/decisions.test.ts,"refuses a rejection with no reason, changing nothing"
D5,"A reason of whitespace only is refused",backend/services/event/tests/api/decisions.test.ts,"refuses a reason of whitespace only"
D5,"On rejection the status changes to Rejected and the reason, rejecting coordinator, and timestamp are recorded",backend/services/event/tests/api/decisions.test.ts,"rejects an event with a reason, recording the coordinator and the time"
D5,"The reason is visible to the owning organiser",backend/services/event/tests/api/decisions.test.ts,"shows the reason to the owning organiser"
D5,"The organiser receives a notification of the rejection",backend/services/event/tests/api/decisions.test.ts,"notifies the organiser of the rejection, including the reason"
D5,"A rejected event cannot be edited or resubmitted; its fields become read-only",backend/services/event/tests/api/decisions.test.ts,"makes a rejected event read-only: it cannot be resubmitted"
D5,"An event that already carries a decision cannot be rejected",backend/services/event/tests/api/decisions.test.ts,"cannot reject an event that already carries a decision"
D5,"The rejection writes a status history entry like any other transition (F1)",backend/services/event/tests/api/decisions.test.ts,"writes a history entry for the rejection (F1)"
D5,"Only an Event Coordinator may reject (A2)",backend/services/event/tests/api/decisions.test.ts,"refuses a role that is not an Event Coordinator (A2)"
D5,"The rejection reason is recorded with the decision",backend/services/event/tests/repo/events.test.ts,"records a rejection with its reason"
D3,"The organiser can amend the request fields, including its venue requirements, with the originals retained in the history",backend/services/event/tests/api/clarifications.test.ts,"lets the organiser amend the venue requirements, keeping the original in the history"
D5,"Without a reason the rejection is not performed, and the refusal is shown where the reason is entered",frontend/tests/rejectDialog.test.tsx,"shows the refusal inside the rejection dialog"
E2,"Reassignment proposals are permitted only for events not in status Completed, Cancelled, or Rejected",backend/services/event/tests/domain/assignment.test.ts,"refuses reassignment once the event has left the review workflow"
E2,"Reassignment proposals are permitted only for events not in status Completed, Cancelled, or Rejected",backend/services/event/tests/api/reassignments.test.ts,"refuses reassignment once the event has been rejected"
E2,"The system verifies the nominee is eligible to be a coordinator; an ineligible nominee is refused with a clear reason",backend/services/event/tests/api/reassignments.test.ts,"refuses a nominee who does not hold the Coordinator role"
E2,"Only one pending reassignment proposal may exist per event; a second proposal is refused and identifies the pending nominee",backend/services/event/tests/api/reassignments.test.ts,"refuses a second proposal while one is pending, naming the pending nominee"
E2,"Only one pending reassignment proposal may exist per event, enforced as a database-level invariant under concurrent attempts",backend/services/event/tests/api/reassignments.test.ts,"fires two concurrent proposals for the same event and lets exactly one win"
E2,"Proposing reassignment to the coordinator already assigned is refused and creates no new history entry",backend/services/event/tests/domain/assignment.test.ts,"is true when the nominee is already the assigned coordinator"
E2,"Proposing reassignment to the coordinator already assigned is refused and creates no new history entry",backend/services/event/tests/api/reassignments.test.ts,"refuses nominating the coordinator already assigned, creating no history entry"
E2,"While a proposal is pending, the outgoing coordinator remains active and the nominee can accept or decline it",backend/services/event/tests/api/reassignments.test.ts,"refuses a caller who is not the nominee"
E2,"On accept, the outgoing assignment is closed, a new active assignment is created for the nominee, and both parties are notified",backend/services/event/tests/api/reassignments.test.ts,"moves coordinator permissions to the nominee and closes the outgoing assignment"
E2,"On accept, the outgoing assignment is closed, a new active assignment is created for the nominee, and both parties are notified",backend/services/event/tests/api/reassignments.test.ts,"writes the reassignment-accepted event naming both coordinators"
E2,"On decline, no assignment is changed and the proposal is closed and recorded in history",backend/services/event/tests/api/reassignments.test.ts,"leaves the outgoing coordinator active and records the decline"
E2,"On decline, no assignment is changed and the proposal is closed and recorded in history",backend/services/event/tests/api/reassignments.test.ts,"allows a fresh proposal once the pending one has been declined"
E2,"Only a coordinator currently assigned to the event may propose its reassignment (A2)",backend/services/event/tests/api/reassignments.test.ts,"refuses a coordinator who is not the one currently assigned"
D5,"Rejection is offered through a confirming dialog where the reason is entered, and that dialog opens in the app as mounted",frontend/tests/root.test.tsx,"shows the rejection dialog attached to the page"
