story_id,acceptance_criterion,test_file,test_name
D4,"Approval alone creates no venue booking and no equipment reservation",backend/services/event/tests/api/decisions.test.ts,"creates no venue booking and no equipment reservation"
D4,"An event that already carries a recorded decision cannot be approved again and no second approval timestamp is written",backend/services/event/tests/api/decisions.test.ts,"cannot approve an event that already carries a decision, writing no second timestamp"
D4,"A rejected event cannot subsequently be approved",backend/services/event/tests/api/decisions.test.ts,"cannot approve an event that was already rejected"
D4,"The approval writes a status history entry like any other transition (F1)",backend/services/event/tests/api/decisions.test.ts,"writes a history entry for the approval (F1)"
D4,"Only an Event Coordinator may approve (A2)",backend/services/event/tests/api/decisions.test.ts,"refuses a role that is not an Event Coordinator (A2)"
D4,"A double decision is refused at the repository level, writing no second decision timestamp",backend/services/event/tests/repo/events.test.ts,"writes no second decision timestamp for an event already decided"
D5,"Rejection requires a reason of at least one non-whitespace character; without it the rejection is not performed, the status is unchanged, and no rejection timestamp is recorded",backend/services/event/tests/api/decisions.test.ts,"refuses a rejection with no reason, changing nothing"
D5,"A reason of whitespace only is refused",backend/services/event/tests/api/decisions.test.ts,"refuses a reason of whitespace only"
D5,"On rejection the status changes to Rejected and the reason, rejecting coordinator, and timestamp are recorded",backend/services/event/tests/api/decisions.test.ts,"rejects an event with a reason, recording the coordinator and the time"
D5,"The reason is visible to the owning organiser",backend/services/event/tests/api/decisions.test.ts,"shows the reason to the owning organiser"
D5,"The organiser receives a notification of the rejection",backend/services/event/tests/api/decisions.test.ts,"notifies the organiser of the rejection, including the reason"
D5,"A rejected event cannot be edited or resubmitted; its fields become read-only",backend/services/event/tests/api/decisions.test.ts,"makes a rejected event read-only: it cannot be resubmitted"
D5,"An event that already carries a decision cannot be rejected",backend/services/event/tests/api/decisions.test.ts,"cannot reject an event that already carries a decision"
D5,"The rejection writes a status history entry like any other transition (F1)",backend/services/event/tests/api/decisions.test.ts,"writes a history entry for the rejection (F1)"
D5,"Only an Event Coordinator may reject (A2)",backend/services/event/tests/api/decisions.test.ts,"refuses a role that is not an Event Coordinator (A2)"
D5,"The rejection reason is recorded with the decision",backend/services/event/tests/repo/events.test.ts,"records a rejection with its reason"
D3,"The organiser can amend the request fields, including its venue requirements, with the originals retained in the history",backend/services/event/tests/api/clarifications.test.ts,"lets the organiser amend the venue requirements, keeping the original in the history"
D5,"Without a reason the rejection is not performed, and the refusal is shown where the reason is entered",frontend/tests/rejectDialog.test.tsx,"shows the refusal inside the rejection dialog"
E2,"Reassignment proposals are permitted only for events not in status Completed, Cancelled, or Rejected",backend/services/event/tests/domain/assignment.test.ts,"refuses reassignment once the event has left the review workflow"
E2,"Reassignment proposals are permitted only for events not in status Completed, Cancelled, or Rejected",backend/services/event/tests/api/reassignments.test.ts,"refuses reassignment once the event has been rejected"
E2,"The system verifies the nominee is eligible to be a coordinator; an ineligible nominee is refused with a clear reason",backend/services/event/tests/api/reassignments.test.ts,"refuses a nominee who does not hold the Coordinator role"
E2,"Only one pending reassignment proposal may exist per event; a second proposal is refused and identifies the pending nominee",backend/services/event/tests/api/reassignments.test.ts,"refuses a second proposal while one is pending, naming the pending nominee"
E2,"Only one pending reassignment proposal may exist per event, enforced as a database-level invariant under concurrent attempts",backend/services/event/tests/api/reassignments.test.ts,"fires two concurrent proposals for the same event and lets exactly one win"
E2,"Proposing reassignment to the coordinator already assigned is refused and creates no new history entry",backend/services/event/tests/domain/assignment.test.ts,"is true when the nominee is already the assigned coordinator"
E2,"Proposing reassignment to the coordinator already assigned is refused and creates no new history entry",backend/services/event/tests/api/reassignments.test.ts,"refuses nominating the coordinator already assigned, creating no history entry"
E2,"While a proposal is pending, the outgoing coordinator remains active and the nominee can accept or decline it",backend/services/event/tests/api/reassignments.test.ts,"refuses a caller who is not the nominee"
E2,"On accept, the outgoing assignment is closed, a new active assignment is created for the nominee, and both parties are notified",backend/services/event/tests/api/reassignments.test.ts,"moves coordinator permissions to the nominee and closes the outgoing assignment"
E2,"On accept, the outgoing assignment is closed, a new active assignment is created for the nominee, and both parties are notified",backend/services/event/tests/api/reassignments.test.ts,"writes the reassignment-accepted event naming both coordinators"
E2,"On decline, no assignment is changed and the proposal is closed and recorded in history",backend/services/event/tests/api/reassignments.test.ts,"leaves the outgoing coordinator active and records the decline"
E2,"On decline, no assignment is changed and the proposal is closed and recorded in history",backend/services/event/tests/api/reassignments.test.ts,"allows a fresh proposal once the pending one has been declined"
E2,"Only a coordinator currently assigned to the event may propose its reassignment (A2)",backend/services/event/tests/api/reassignments.test.ts,"refuses a coordinator who is not the one currently assigned"
D5,"Rejection is offered through a confirming dialog where the reason is entered, and that dialog opens in the app as mounted",frontend/tests/root.test.tsx,"shows the rejection dialog attached to the page"
